ID,Event 1,Event 2,Label
108490,He (push) her on the ground,She (try) to mess around with her,2
107453,He (see) a squirrel,They (decide) to go for a walk,2
100428,I (reach) the free throw line,I (steal) the ball from my opponent,2
101146,They (study) the recipe diligently,A friend (recommend) she try baking cookies,2
101942,My feet (end) up burning,I (spill) some on the ground,2
107047,The computer (function) properly,I (purchase) a used laptop,2
104232,She (change) into her pajamas,They (get) ready to go to sleep,2
106453,They (ride) the bike all day,He (let) him borrow his new bike,2
104866,The couple (get) along very well,They (meet) a woman in a bar,2
100734,She (realize) that she was lost,She (glance) at her map several times,2
104096,She (yell) at her,Snapper (jump) into a murky lake,2
103797,He (stop) at a coffee shop,They (take) a trip downtown,2
106512,They (get) the highest grade,He (study) hard and often,2
105536,I (ask) my husband to help me,I finally (admit) I needed help,2
102717,They (end) up passing the test,This (give) Sally time to study,2
105444,I (play) the tapes all day long,My aunt (give) me a Teddy Ruxpin,2
104087,She (get) what she wanted,Her parents (give) in,2
104988,She (make) a coffee flavor,She (get) a lot of ingredients,2
106655,They (confiscate) the game indefinitely,He parents (overhear) him yelling and cursing,2
106870,He (buy) some from the store,He only (find) a few clams,2
105137,A large fireball (erupt) from the pit,They (pour) some gasoline on the pit,2
105570,They never (find) their raft,The boaters (jump) out,2
102571,His wife (take) him home,He (get) drunk at his wedding,2
100824,His stomach (start) to feel bad,He (eat) the meat,2
108060,I (go) very slowly up the trail,We (drive) to the hiking trail,2
102837,She (make) them loose,The woman (braid) her hair,2
102083,His teammate (pass) the basketball to John,They (run) down the basketball court,2
106834,He (spend) all of his time online,They (get) a new service provider,2
107950,He (buy) a tank and food,They (get) a goldfish,2
107202,He (win) by a short margin,We (play) a racing game,2
107656,He even (go) back to school,He (search) all day and night,2
102281,He (shave) the dog 's fur off,He (brush) his dog regularly,2
106498,His mom (see) him sitting there,The boy (sit) at the table,2
101089,No one (expect) much of her though.q,She always (get) the lowest grades,2
102026,They (start) dating Sarah,They both (work) in the same office,2
100830,They all (get) to know each other,The kids all (play) together,2
101621,I (enjoy) the food,I (order) Chinese food on campus,2
104242,The couple (resolve) their issues together,The couple (go) to counseling,2
108026,He (slip) on the board,He (step) up to the diving board,2
107463,She (see) more snakes,Sue (take) a shortcut through the field,2
108457,They (end) up being a good grade,They (ace) the test,2
106980,They (agree) to become Mark 's girlfriend,He (decide) to send her flowers,2
100445,Jackson (work) very hard,He (decide) to start taking Spanish classes,2
106532,She (take) a headache pill,They (wake) up with a bad headache,2
108341,They both (feel) ill from food poisoning,They (go) to the buffet for dinner,2
104725,They (take) the money,He (see) a bag,2
100001,He (start) to feel much better,He (stop) going to burger places,2
100514,The cameras (catch) an employee stealing,The store (instal) new security cameras,2
107820,She (complain) about how tired she was,Shannon (work) eight days in a row,2
105249,I (look) both ways,I quickly (leave) the restaurant,2
102863,She (order) the shrimp,They (go) to a seafood restaurant,2
103187,One of the ducks (attack) Milo,He (hear) a loud honking sound,2
103447,They (break) in two,I accidentally (sit) on my glasses,2
108919,He (walk) around the neighborhood afterwards,The winds (cause) lots of damage,2
105928,He quickly (assemble) a table,He impulsively (buy) plywood and other materials,2
101757,She (present) the chain to her mom,She (knot) them into a chain,2
108444,He (set) up camp,He (return) from the hike,2
102773,I (see) a lot of funny masks,I (go) to the halloween store,2
102131,He (throw) a spitball at the teacher,They (misbehave) a lot in class,2
101486,He (jump) out of bed,The cockroach (see) tyler coming,2
101665,Bees (keep) her yard beautiful,They (keep) the bees happy,2
101636,The teacher (notice) that she was unconscious,She (slam) into a pole,2
104936,He (pay) for the phone,He (find) the phone he wanted,2
102146,The author (sign) the people 's books,His fans (fill) the seats,2
107682,They (buy) himself a house,He (find) a pot of gold,2
103512,He (finish) vacuuming his house,He eventually (fix) the broken belt,2
108680,The soup (splatter) everywhere,She (drop) the ladle,2
106745,He (put) new sheets on the bed,He (strip) down his bed,2
100529,The clouds (disappear) making the moon visible,I (wait) for a long time,2
104616,I (break) my collar bone at school,I (land) on the gym floor,2
102352,She (hire) a tutor for her,She (ask) her grandmother for lessons,2
108884,They (lose) several files,He accidentally (pull) the thumb drive out,2
102237,He (go) to Las Vegas,They (decide) to take a trip,2
102594,She (cut) the tires on his car,She (get) mad at her boyfriend,2
101764,She (welcome) Anna into the school choir,Her smiling teacher (pull) her aside,2
101253,She (answer) the door,He (knock) on the door with flowers,2
103847,I (play) the computer game every day,I (go) to my house,2
102041,They (drive) for 4 hours,They (pack) all three kids up,2
104289,She (turn) his back to him,He (try) to talk to her,2
